checkpoint,opponent_type,mean_reward,std_reward,win_rate,std_win_rate,mean_length,std_length
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep7000.pth,random,4.285442903200052,6.589698795379723,0.597,0.49050076452539815,132.105,93.75480774338988
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep7000.pth,weak,2.6536623133644275,5.157482844323603,0.366,0.4817094560001911,207.905,67.45795709180645
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep7000.pth,strong,-4.848212619147745,8.83527657457798,0.266,0.44186423254207846,147.173,78.38986586925634
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep8000.pth,random,4.050392411983769,6.738868785673641,0.59,0.4918333050943175,138.338,89.15904752743829
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep8000.pth,weak,-2.497296691025321,9.038284328603794,0.321,0.46686079295653016,150.992,74.39861514840179
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep8000.pth,strong,-3.901403786894304,9.528867270752126,0.346,0.4756931784249171,125.509,76.2825662848334
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep9000.pth,random,3.9756688125001163,6.640682087476057,0.584,0.4928934976239796,140.056,90.98460784110684
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep9000.pth,weak,6.745464530448773,4.801679699921417,0.793,0.4051555256935292,138.963,74.51631788407154
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep9000.pth,strong,1.1996207723751822,9.390503513546406,0.598,0.49030194778320024,113.495,72.56421966093207
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep10000.pth,random,3.709924545621193,6.841901861888648,0.568,0.49535441857320706,137.403,94.13331286531883
