episodes,rewards,reward_std,lengths,overall_win_rate,random_wr,weak_wr,strong_wr,self_wr,q_losses,actor_losses
2500.0,-1.836,12.7,167.12,0.4,0.533,0.372,0.0,0.4,0.36185618272252185,0.35370232355635883
2550.0,2.328,11.976,156.72,0.48,0.531,0.377,0.0,0.407,0.3630927780601505,0.3534200224965651
2600.0,1.961,11.234,149.18,0.46,0.527,0.389,0.0,0.393,0.3547197559361527,0.35001422811713223
2650.0,4.847,10.445,145.28,0.56,0.529,0.393,0.0,0.4,0.3545926027011669,0.36345298469685355
2700.0,1.802,12.67,146.92,0.56,0.529,0.401,0.0,0.403,0.35869340536006783,0.36537186535190735
2750.0,2.597,12.106,135.44,0.54,0.529,0.404,0.0,0.417,0.36054079817240625,0.37199984884610826
2800.0,3.019,13.357,142.44,0.58,0.529,0.41,0.0,0.427,0.358218129343415,0.3797378124925242
2850.0,1.622,12.806,133.64,0.54,0.53,0.413,0.0,0.424,0.35543301907321423,0.3846374195433518
2900.0,3.906,11.858,153.12,0.52,0.528,0.419,0.0,0.429,0.3566414425211082,0.39203603964588407
2950.0,-0.41,13.236,163.62,0.4,0.526,0.42,0.0,0.428,0.3498027730743703,0.39973366811763716
3000.0,6.231,10.301,149.3,0.6,0.529,0.421,0.0,0.433,0.3560446044696731,0.40256779404435006
3050.0,2.431,11.716,154.82,0.44,0.53,0.419,0.0,0.426,0.3584561540870293,0.4110469822427618
3100.0,3.188,11.45,127.62,0.6,0.53,0.424,0.0,0.431,0.35219149904858205,0.4084908285299237
3150.0,4.157,11.16,142.82,0.54,0.532,0.423,0.0,0.438,0.35321505412989046,0.4129106001814194
3200.0,2.408,11.588,145.2,0.5,0.533,0.425,0.0,0.426,0.35640080282291775,0.4205524113688989
3250.0,4.543,10.463,153.56,0.52,0.532,0.429,0.0,0.432,0.34833722538160955,0.4211327154312392
3300.0,2.246,11.439,145.56,0.48,0.532,0.428,0.0,0.439,0.3519961283538993,0.4163941249659167
3350.0,1.695,12.703,175.36,0.46,0.531,0.428,0.0,0.448,0.3591534684067366,0.42691321579605274
3400.0,3.25,12.996,127.48,0.62,0.531,0.433,0.0,0.455,0.3598797223728458,0.43515142845297505
3450.0,3.167,11.913,157.06,0.48,0.533,0.431,0.0,0.444,0.3484607693762965,0.4359426884371442
3500.0,1.824,13.437,171.18,0.36,0.532,0.429,0.0,0.438,0.3506512336243095,0.43728802211819373
3550.0,2.885,12.554,145.72,0.48,0.531,0.43,0.0,0.438,0.3508795189380308,0.44069115477712245
3600.0,5.445,10.253,134.32,0.56,0.534,0.428,0.0,0.44,0.34959487562173563,0.4521784504354656
3650.0,3.55,13.024,160.94,0.5,0.536,0.426,0.0,0.436,0.35315743330590715,0.4641167993682779
3700.0,3.409,12.418,135.2,0.6,0.537,0.429,0.0,0.441,0.3509633700079459,0.4640000424751811
3750.0,5.106,12.139,135.6,0.6,0.539,0.431,0.0,0.438,0.35122161891080556,0.4623376727385429
3800.0,5.844,11.56,134.4,0.62,0.541,0.434,0.0,0.441,0.34704753655978965,0.4697728503815368
3850.0,4.803,10.832,150.5,0.52,0.542,0.434,0.0,0.441,0.3459952375064972,0.47400227106566245
3900.0,4.28,11.826,160.12,0.52,0.543,0.433,0.0,0.442,0.3457333349317228,0.4698512037620112
3950.0,5.679,11.746,152.6,0.5,0.542,0.435,0.0,0.444,0.35108399296723736,0.46848044189389826
4000.0,5.918,12.736,144.62,0.56,0.543,0.436,0.0,0.446,0.34812945852858274,0.4706183765323779
4050.0,4.034,12.832,156.62,0.48,0.543,0.435,0.0,0.445,0.3531863327557353,0.47265474840918964
4100.0,4.944,13.487,167.08,0.54,0.544,0.437,0.0,0.446,0.34622380486887255,0.47807903646410316
4150.0,6.294,11.777,140.6,0.6,0.546,0.436,0.0,0.45,0.3489518512289979,0.47446501869081364
4200.0,4.664,11.913,138.4,0.54,0.546,0.438,0.0,0.448,0.35210413961065157,0.4700724151513981
4250.0,4.614,13.56,146.32,0.52,0.547,0.437,0.0,0.448,0.34249567277038123,0.4737417646626625
4300.0,5.53,13.767,142.5,0.58,0.547,0.439,0.0,0.449,0.34331719302398,0.4699129919354816
4350.0,8.618,10.773,142.34,0.54,0.549,0.439,0.0,0.449,0.349199650740616,0.4739368440839396
4400.0,8.068,12.785,135.9,0.66,0.551,0.441,0.0,0.45,0.347161050120702,0.4685988127435292
4450.0,10.434,11.053,146.94,0.56,0.552,0.443,0.0,0.448,0.3466614931353086,0.46701183695769155
4500.0,9.615,10.47,149.22,0.52,0.555,0.439,0.0,0.446,0.34586102112813655,0.46611817861248317
4550.0,9.665,12.8,158.92,0.54,0.556,0.44,0.0,0.44,0.34667479242870514,0.4571962849116618
